address,latitude,longitude
4611 Viking Way,49.1829547,-123.0744277
4511 Hermitage Dr,49.1377092,-123.1766328
4899 Vanguard Rd  112,49.1775831,-123.1013544
13460 Smallwood Pl,49.1717084,-123.0757623
4899 Vanguard Rd  112,49.1775831,-123.1013544
4511 Hermitage Dr,49.1377092,-123.1766328
4899 Vanguard Rd  112,49.1775831,-123.1013544
7300 St Albans Rd,49.1599451,-123.1305785
8260 Alanmore Pl,49.1530482,-123.1820958
10460 Agassiz Crt,49.1465172,-123.1088403
3944 Regent St,49.1318089,-123.1820135
5071 Jaskow Dr,49.1460504,-123.1686128
5071 Jaskow Dr,49.1460504,-123.1686128
9291 Alexandra Rd,49.1791178,-123.1207541
12111 3rd Ave,49.1255213,-123.1860281
6051 Thetis Pl,49.1695797,-123.1569551
17720 River Rd,49.1977486,-123.0271401
6080 Danube Rd,49.1510488,-123.1580192
13888 Wireless Way,49.17117229999999,-123.0716256
17720 River Rd,49.1977486,-123.0271401
17720 River Rd,49.1977486,-123.0271401
9000 No 3 Rd,49.1479766,-123.1362896
8051 Anderson Rd,49.1636591,-123.1357302
9651 Glendower Dr  519,49.145156,-123.118245
8031 Williams Rd,49.1411735,-123.1359989
12011 2nd Ave  130,49.1261263,-123.1844747
8140 Cook Rd  211,49.16593839999999,-123.1346941
5300 No 3 Rd  432,49.1752364,-123.1315984
8151 Granville Ave,49.1629859,-123.1342757
8151 Granville Ave,49.1629859,-123.1342757
9371 Dolphin Ave,49.1503305,-123.1206815
10471 No 3 Rd,49.13643219999999,-123.137207
9151 Steveston Hwy,49.1336941,-123.1230487
9151 Steveston Hwy,49.1336941,-123.1230487
13180 Mitchell Rd  120,49.20361219999999,-123.0789109
9151 Steveston Hwy,49.1336941,-123.1230487
11760 Williams Rd,49.1404538,-123.0932633
11760 Williams Rd,49.1404538,-123.0932633
8620 Spires Rd,49.1672035,-123.1261235
14540 Burrows Rd,49.196408,-123.061483
6691 Francis Rd,49.1484798,-123.1493829
6740 Francis Rd,49.1481137,-123.1490379
4611 Viking Way,49.1829547,-123.0744277
7900 Nelson Rd,49.1562893,-123.0123807
100 Douglas Cr,49.18676079999999,-123.1497663
8191 Alderbridge Way,49.1775939,-123.1336186
7000 Westminster Hwy,49.1687188,-123.1468218
7000 Westminster Hwy,49.1687188,-123.1468218
6691 Francis Rd,49.1484798,-123.1493829
13131 No 2 Rd,49.11803,-123.159656
12080 No 5 Rd,49.125204,-123.0914505
8620 Spires Rd,49.1672035,-123.1261235
8620 Spires Rd,49.1672035,-123.1261235
2211 Anson Ave,49.1892135,-123.1490448
8251 Alexandra Rd,49.17879110000001,-123.1328572
10011 River Dr  2005,49.1991616,-123.1128222
9371 Francis Rd,49.1484079,-123.1206763
9371 Francis Rd,49.1484079,-123.1206763
8040 Blundell Rd,49.1550095,-123.1357138
8800 Spires Rd,49.16722499999999,-123.1289317
8600 Ackroyd Rd,49.1716229,-123.128202
3240 No 4 Rd,49.1872495,-123.1131015
3471 Regina Ave  21,49.187645,-123.1216201
6511 Coltsfoot Dr,49.1662561,-123.171465
6511 No 5 Rd,49.165568,-123.0922677
3944 Regent St,49.1318089,-123.1820135
9511 Granville Ave,49.162973,-123.118535
9311 Ferndale Rd,49.168813,-123.1209668
6251 Williams Rd,49.1413176,-123.1555411
6251 Williams Rd,49.1413176,-123.1555411
11771 Fentiman Pl,49.1283353,-123.177897
6251 Williams Rd,49.1413176,-123.1555411
11131 Bridgeport Rd,49.19242089999999,-123.1010567
11991 Mitchell Rd,49.2042803,-123.0914301
4380 No 3 Rd  1010,49.1813203,-123.1360377
8220 No 2 Rd,49.15281969999999,-123.156132
"4400 Hazelbridge Way
340",49.18157189999999,-123.132192
12260 Woodhead Rd,49.18207779999999,-123.0875569
12260 Woodhead Rd,49.18207779999999,-123.0875569
12260 Woodhead Rd,49.18207779999999,-123.0875569
6333 Mah Bing St,49.1673284,-123.1423335
6560 Williams Rd,49.1407011,-123.1506823
5160 Maple Rd,49.1465912,-123.1676019
